album_group,album_type,artists,available_markets,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,external_urls.spotify
album,album,,,https://api.spotify.com/v1/albums/4DsgJJ5VhknaGjd8CInuXD,4DsgJJ5VhknaGjd8CInuXD,,Laughing with Liza,2023-05-05,day,10,album,spotify:album:4DsgJJ5VhknaGjd8CInuXD,https://open.spotify.com/album/4DsgJJ5VhknaGjd8CInuXD
album,album,,,https://api.spotify.com/v1/albums/6R81KQL9aDneLB1GixHRIH,6R81KQL9aDneLB1GixHRIH,,Divine Symmetry,2022-11-25,day,72,album,spotify:album:6R81KQL9aDneLB1GixHRIH,https://open.spotify.com/album/6R81KQL9aDneLB1GixHRIH
album,album,,,https://api.spotify.com/v1/albums/4bdMmY8jiVxvSOPg2IL0u8,4bdMmY8jiVxvSOPg2IL0u8,,Moonage Daydream – A Brett Morgen Film,2022-09-16,day,45,album,spotify:album:4bdMmY8jiVxvSOPg2IL0u8,https://open.spotify.com/album/4bdMmY8jiVxvSOPg2IL0u8
album,album,,,https://api.spotify.com/v1/albums/1LhosrB0DtRILBMXgILNMh,1LhosrB0DtRILBMXgILNMh,,David Bowie: Live in Chile 1990,2022-06-29,day,21,album,spotify:album:1LhosrB0DtRILBMXgILNMh,https://open.spotify.com/album/1LhosrB0DtRILBMXgILNMh
album,album,,,https://api.spotify.com/v1/albums/05uqcnORTiDNi7AxDIwwxV,05uqcnORTiDNi7AxDIwwxV,,At The Kit Kat Klub (Live New York 99),2021-04-02,day,12,album,spotify:album:05uqcnORTiDNi7AxDIwwxV,https://open.spotify.com/album/05uqcnORTiDNi7AxDIwwxV
album,album,,,https://api.spotify.com/v1/albums/4pnC0csjiPwmrt3Z21tKc3,4pnC0csjiPwmrt3Z21tKc3,,Something In The Air (Live Paris 99),2021-03-12,day,15,album,spotify:album:4pnC0csjiPwmrt3Z21tKc3,https://open.spotify.com/album/4pnC0csjiPwmrt3Z21tKc3
album,album,,,https://api.spotify.com/v1/albums/0cqnZacz49P3vjP6bq3cdj,0cqnZacz49P3vjP6bq3cdj,,Look At The Moon! (Live Phoenix Festival 97),2021-02-12,day,18,album,spotify:album:0cqnZacz49P3vjP6bq3cdj,https://open.spotify.com/album/0cqnZacz49P3vjP6bq3cdj
album,album,,,https://api.spotify.com/v1/albums/5ScPukrNF9Omj4gJBZ0YbV,5ScPukrNF9Omj4gJBZ0YbV,,I'm Only Dancing (The Soul Tour 74) [Live],2020-11-27,day,19,album,spotify:album:5ScPukrNF9Omj4gJBZ0YbV,https://open.spotify.com/album/5ScPukrNF9Omj4gJBZ0YbV
album,album,,,https://api.spotify.com/v1/albums/7B4qOISwglvyQKodBynWBd,7B4qOISwglvyQKodBynWBd,,No Trendy Réchauffé (Live Birmingham 95),2020-11-20,day,15,album,spotify:album:7B4qOISwglvyQKodBynWBd,https://open.spotify.com/album/7B4qOISwglvyQKodBynWBd
album,album,,,https://api.spotify.com/v1/albums/7eMXWxMOHtAoliVQfVpdpl,7eMXWxMOHtAoliVQfVpdpl,,ChangesNowBowie,2020-08-28,day,9,album,spotify:album:7eMXWxMOHtAoliVQfVpdpl,https://open.spotify.com/album/7eMXWxMOHtAoliVQfVpdpl
